Tema,Subtema,ST,ID,UN,DS,REC,indicator_id_abs,indicator_id_rel,is_default_variable,variable_id_abs,aux_abs,variable_id_rel,aux_rel,indicator_label,variant_label,measure_unit_abs,measure_unit_rel,variant_path,description,Arquivo_2010,Var_abs_2010,Var_rel_2010 (denominador),Observações,Descrição_2010,Script_2010_abs,Script_2010_rel,Arquivo_2022,Var_abs_2022,Var_rel_2022 (denominador),Descrição_2022,Script_2022_abs,Script_2022_rel,Arquivo_2000,Var_abs_2000,Descrição_2000,Var_rel_2000 (denominador),Script_2000_abs,Script_2000_rel
Básico,Características do setor,set,bas,set,,,,,,nome_uf,"nome_uf,",nome_uf,"nome_uf,",,,,,,,Basico,nome_uf,-,,Nome da Unidade da Federação,"nome_uf = nome_uf,","nome_uf = nome_uf,",Basico,nm_uf,-,Nome da Unidade da Federação,"nome_uf = nm_uf,",,Basico,Nome_da_UF,Nome da Unidade da Federação,-,"nome_uf = Nome_da_UF,",
Básico,Características do setor,set,bas,set,,,,,,situacao_setor,"situacao_setor,",situacao_setor,"situacao_setor,",,,,,,,Basico,situacao_setor,-,,Código de situação do setor,"situacao_setor = situacao_setor,","situacao_setor = situacao_setor,",Basico,situacao,-,Código de situação do setor,"situacao_setor = situacao,",,Basico,Situacao,Código de situação do setor,-,"situacao_setor = Situacao,",
Educação,População por faixa etária,edu,pop,mor,tot,0_3,edu_pop_mor_tot_0_3,edu_pop_mor_tot_0_3_pct,sim,edu_pop_mor_tot_0_3,"edu_pop_mor_tot_0_3,",edu_pop_mor_tot_0_3_pct,"edu_pop_mor_tot_0_3_pct,",Crianças entre 0 e 3 anos de idade (creche),Total de residentes,Número de residentes,Porcentagem em relação ao total de residentes,Total,,Pessoa13,pes13_V022 + pes13_V035 + pes13_V036 + pes13_V037,pes03_V001,,Pessoas entre 0 a 3 anos de idade,"edu_pop_mor_tot_0_3 = pes13_V022 + pes13_V035 + pes13_V036 + pes13_V037,","edu_pop_mor_tot_0_3_pct = edu_pop_mor_tot_0_3 / (pes03_V001),",-,-,-,-,,,Pessoa1,pes1_V1347 + pes1_V1348 + pes1_V1349 + pes1_V1350,Pessoas entre 0 a 3 anos de idade,pes1_V1330,"edu_pop_mor_tot_0_3 = pes1_V1347 + pes1_V1348 + pes1_V1349 + pes1_V1350,",edu_pop_mor_tot_0_3_pct = edu_pop_mor_tot_0_3 / (pes1_V1330)
Educação,População por faixa etária,edu,pop,mor,tot,11_14,edu_pop_mor_tot_11_14,edu_pop_mor_tot_11_14_pct,sim,edu_pop_mor_tot_11_14,"edu_pop_mor_tot_11_14,",edu_pop_mor_tot_11_14_pct,"edu_pop_mor_tot_11_14_pct,",Adolescentes entre 11 e 14 anos (EF2),Total de residentes,Número de residentes,Porcentagem em relação ao total de residentes,Total,,Pessoa13,pes13_V045 + pes13_V046 + pes13_V047 + pes13_V048,pes03_V001,,Pessoas entre 11 e 14 anos de idade,"edu_pop_mor_tot_11_14 = pes13_V045 + pes13_V046 + pes13_V047 + pes13_V048,","edu_pop_mor_tot_11_14_pct = edu_pop_mor_tot_11_14 / (pes03_V001),",-,-,-,-,,,Pessoa1,pes1_V1358 + pes1_V1359 + pes1_V1360 + pes1_V1361,Pessoas entre 11 e 14 anos de idade,pes1_V1330,"edu_pop_mor_tot_11_14 = pes1_V1358 + pes1_V1359 + pes1_V1360 + pes1_V1361,",edu_pop_mor_tot_11_14_pct = edu_pop_mor_tot_11_14 / (pes1_V1330)
Educação,População por faixa etária,edu,pop,mor,tot,15_17,edu_pop_mor_tot_15_17,edu_pop_mor_tot_15_17_pct,sim,edu_pop_mor_tot_15_17,"edu_pop_mor_tot_15_17,",edu_pop_mor_tot_15_17_pct,"edu_pop_mor_tot_15_17_pct,",Jovens entre 15 e 17 anos (EM),Total de residentes,Número de residentes,Porcentagem em relação ao total de residentes,Total,,Pessoa13,pes13_V049 + pes13_V050 + pes13_V051,pes03_V001,,Pessoas entre 15 e 17 anos de idade,"edu_pop_mor_tot_15_17 = pes13_V049 + pes13_V050 + pes13_V051,","edu_pop_mor_tot_15_17_pct = edu_pop_mor_tot_15_17 / (pes03_V001),",-,-,-,-,,,Pessoa1,pes1_V1362 + pes1_V1363 + pes1_V1364,Pessoas entre 15 e 17 anos de idade,pes1_V1330,"edu_pop_mor_tot_15_17 = pes1_V1362 + pes1_V1363 + pes1_V1364,",edu_pop_mor_tot_15_17_pct = edu_pop_mor_tot_15_17 / (pes1_V1330)
Educação,População por faixa etária,edu,pop,mor,tot,4_5,edu_pop_mor_tot_4_5,edu_pop_mor_tot_4_5_pct,sim,edu_pop_mor_tot_4_5,"edu_pop_mor_tot_4_5,",edu_pop_mor_tot_4_5_pct,"edu_pop_mor_tot_4_5_pct,",Crianças entre 4 e 5 anos de idade (pré-escola),Total de residentes,Número de residentes,Porcentagem em relação ao total de residentes,Total,,Pessoa13,pes13_V038 + pes13_V039,pes03_V001,,Pessoas entre 4 e 5 anos de idade,"edu_pop_mor_tot_4_5 = pes13_V038 + pes13_V039,","edu_pop_mor_tot_4_5_pct = edu_pop_mor_tot_4_5 / (pes03_V001),",-,-,-,-,,,Pessoa1,pes1_V1351 + pes1_V1352,Pessoas entre 4 e 5 anos de idade,pes1_V1330,"edu_pop_mor_tot_4_5 = pes1_V1351 + pes1_V1352,",edu_pop_mor_tot_4_5_pct = edu_pop_mor_tot_4_5 / (pes1_V1330)
Educação,População por faixa etária,edu,pop,mor,tot,6_10,edu_pop_mor_tot_6_10,edu_pop_mor_tot_6_10_pct,sim,edu_pop_mor_tot_6_10,"edu_pop_mor_tot_6_10,",edu_pop_mor_tot_6_10_pct,"edu_pop_mor_tot_6_10_pct,",Crianças entre 6 e 10 anos (EF1),Total de residentes,Número de residentes,Porcentagem em relação ao total de residentes,Total,,Pessoa13,pes13_V040 + pes13_V041 + pes13_V042 + pes13_V043 + pes13_V044,pes03_V001,,Pessoas entre 6 e 10 anos de idade,"edu_pop_mor_tot_6_10 = pes13_V040 + pes13_V041 + pes13_V042 + pes13_V043 + pes13_V044,","edu_pop_mor_tot_6_10_pct = edu_pop_mor_tot_6_10 / (pes03_V001),",-,-,-,-,,,Pessoa1,pes1_V1353 + pes1_V1354 + pes1_V1355 + pes1_V1356 + pes1_V1357,Pessoas entre 6 e 10 anos de idade,pes1_V1330,"edu_pop_mor_tot_6_10 = pes1_V1353 + pes1_V1354 + pes1_V1355 + pes1_V1356 + pes1_V1357,",edu_pop_mor_tot_6_10_pct = edu_pop_mor_tot_6_10 / (pes1_V1330)
Infraestrutura e serviços urbanos,Entorno,ent,bue,dom,tot,dom,ent_bue_dom_tot_dom,ent_bue_dom_tot_dom_pct,sim,ent_bue_dom_tot_dom,"ent_bue_dom_tot_dom,",ent_bue_dom_tot_dom_pct,"ent_bue_dom_tot_dom_pct,",Domicílios sem bueiro,Total de domicílios,Número de domicílios,Porcentagem em relação ao total de domicílios,Total,,Entorno01,ent_V033 + ent_V035 + ent_V037,dom01_V002,,Domicílios particulares permanentes – Não existe bueiro/boca-de-lobo,"ent_bue_dom_tot_dom = ent_V033 + ent_V035 + ent_V037,","ent_bue_dom_tot_dom_pct = ent_bue_dom_tot_dom / (dom01_V002),",-,-,-,-,,,-,-,-,-,,
Infraestrutura e serviços urbanos,Entorno,ent,bue,mor,tot,dom,ent_bue_dom_tot_dom,ent_bue_dom_tot_dom_pct,,ent_bue_mor_tot_dom,"ent_bue_mor_tot_dom,",ent_bue_mor_tot_dom_pct,"ent_bue_mor_tot_dom_pct,",Domicílios sem bueiro,Total de moradores,Número de moradores,Porcentagem em relação ao total de moradores,Total,,Entorno03,ent_V454 + ent_V456 + ent_V458,dom02_V002,,Moradores em domicílios particulares permanentes – Não existe bueiro/boca-de-lobo,"ent_bue_mor_tot_dom = ent_V454 + ent_V456 + ent_V458,","ent_bue_mor_tot_dom_pct = ent_bue_mor_tot_dom / (dom02_V002),",-,-,-,-,,,-,-,-,-,,
Infraestrutura e serviços urbanos,Entorno,ent,bue,dom,sex,fem_res,ent_bue_dom_tot_dom,ent_bue_dom_tot_dom_pct,,ent_bue_dom_sex_fem_res,"ent_bue_dom_sex_fem_res,",ent_bue_dom_sex_fem_res_pct,"ent_bue_dom_sex_fem_res_pct,",Domicílios sem bueiro,Mulheres,Número de domicílios,Porcentagem em relação ao total de domicílios com mulheres responsáveis,Sexo dos responsáveis,,Entorno02,ent_V405,dom01_V081 + dom01_V082 + dom01_V083 + dom01_V084 + dom01_V085 + dom01_V086 + dom01_V087,% de domicílios com responsável do sexo feminino sem bueiro,Domicílios particulares permanentes com responsável do sexo feminino – Não existe bueiro/boca-de-lobo,"ent_bue_dom_sex_fem_res = ent_V405,","ent_bue_dom_sex_fem_res_pct = ent_bue_dom_sex_fem_res / (dom01_V081 + dom01_V082 + dom01_V083 + dom01_V084 + dom01_V085 + dom01_V086 + dom01_V087),",-,-,-,-,,,-,-,-,-,,
Infraestrutura e serviços urbanos,Entorno,ent,bue,dom,sex,mas_res,ent_bue_dom_tot_dom,ent_bue_dom_tot_dom_pct,,ent_bue_dom_sex_mas_res,"ent_bue_dom_sex_mas_res,",ent_bue_dom_sex_mas_res_pct,"ent_bue_dom_sex_mas_res_pct,",Domicílios sem bueiro,Homens,Número de domicílios,Porcentagem em relação ao total de domicílios com homens responsáveis,Sexo dos responsáveis,,Entorno02,ent_V403,dom01_V062 + dom01_V063 + dom01_V064 + dom01_V065 + dom01_V066 + dom01_V067 + dom01_V068,% de domicílios com responsável do sexo masculino sem bueiro,Domicílios particulares permanentes com responsável do sexo masculino – Não existe bueiro/boca-de-lobo,"ent_bue_dom_sex_mas_res = ent_V403,","ent_bue_dom_sex_mas_res_pct = ent_bue_dom_sex_mas_res / (dom01_V062 + dom01_V063 + dom01_V064 + dom01_V065 + dom01_V066 + dom01_V067 + dom01_V068),",-,-,-,-,,,-,-,-,-,,
Infraestrutura e serviços urbanos,Entorno,ent,bue,mor,sex,fem_res,ent_bue_dom_tot_dom,ent_bue_dom_tot_dom_pct,,ent_bue_mor_sex_fem_res,"ent_bue_mor_sex_fem_res,",ent_bue_mor_sex_fem_res_pct,"ent_bue_mor_sex_fem_res_pct,",Domicílios sem bueiro,Mulheres,Número de moradores,Porcentagem em relação ao total de moradores em domicílios com mulheres responsáveis,Sexo dos responsáveis,,Entorno04,ent_V826,ent_V805 + ent_V806,,Moradores em domicílios particulares permanentes com responsável do sexo feminino – Não existe bueiro/boca-de-lobo,"ent_bue_mor_sex_fem_res = ent_V826,","ent_bue_mor_sex_fem_res_pct = ent_bue_mor_sex_fem_res / (ent_V805 + ent_V806),",-,-,-,-,,,-,-,-,-,,
Infraestrutura e serviços urbanos,Entorno,ent,bue,mor,sex,mas_res,ent_bue_dom_tot_dom,ent_bue_dom_tot_dom_pct,,ent_bue_mor_sex_mas_res,"ent_bue_mor_sex_mas_res,",ent_bue_mor_sex_mas_res_pct,"ent_bue_mor_sex_mas_res_pct,",Domicílios sem bueiro,Homens,Número de moradores,Porcentagem em relação ao total de moradores em domicílios com homens responsáveis,Sexo dos responsáveis,,Entorno04,ent_V824,ent_V803 + ent_V804,,Moradores em domicílios particulares permanentes com responsável do sexo masculino – Não existe bueiro/boca-de-lobo,"ent_bue_mor_sex_mas_res = ent_V824,","ent_bue_mor_sex_mas_res_pct = ent_bue_mor_sex_mas_res / (ent_V803 + ent_V804),",-,-,-,-,,,-,-,-,-,,
Infraestrutura e serviços urbanos,Entorno,ent,bue,dom,ren,12sm,ent_bue_dom_tot_dom,ent_bue_dom_tot_dom_pct,,ent_bue_dom_ren_12sm,"ent_bue_dom_ren_12sm,",ent_bue_dom_ren_12sm_pct,"ent_bue_dom_ren_12sm_pct,",Domicílios sem bueiro,1 a 2 salários mínimos,Número de domicílios,Porcentagem em relação ao total de domicílios,Renda dos responsáveis,,Entorno02,ent_V329,dom01_V002,,Domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita 1 a 2 SM – Não existe bueiro/boca-de-lobo,"ent_bue_dom_ren_12sm = ent_V329,","ent_bue_dom_ren_12sm_pct = ent_bue_dom_ren_12sm / (dom01_V002),",-,-,-,-,,,-,-,-,-,,
Infraestrutura e serviços urbanos,Entorno,ent,bue,dom,ren,1sm,ent_bue_dom_tot_dom,ent_bue_dom_tot_dom_pct,,ent_bue_dom_ren_1sm,"ent_bue_dom_ren_1sm,",ent_bue_dom_ren_1sm_pct,"ent_bue_dom_ren_1sm_pct,",Domicílios sem bueiro,1/2 a 1 salário mínimo,Número de domicílios,Porcentagem em relação ao total de domicílios,Renda dos responsáveis,,Entorno02,ent_V327,dom01_V002,,Domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita 1/2 a 1 SM – Não existe bueiro/boca-de-lobo,"ent_bue_dom_ren_1sm = ent_V327,","ent_bue_dom_ren_1sm_pct = ent_bue_dom_ren_1sm / (dom01_V002),",-,-,-,-,,,-,-,-,-,,
Infraestrutura e serviços urbanos,Entorno,ent,bue,dom,ren,2sm,ent_bue_dom_tot_dom,ent_bue_dom_tot_dom_pct,,ent_bue_dom_ren_2sm,"ent_bue_dom_ren_2sm,",ent_bue_dom_ren_2sm_pct,"ent_bue_dom_ren_2sm_pct,",Domicílios sem bueiro,Mais de 2 salários mínimos,Número de domicílios,Porcentagem em relação ao total de domicílios,Renda dos responsáveis,,Entorno02,ent_V331,dom01_V002,,Domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita maior que 2 SM – Não existe bueiro/boca-de-lobo,"ent_bue_dom_ren_2sm = ent_V331,","ent_bue_dom_ren_2sm_pct = ent_bue_dom_ren_2sm / (dom01_V002),",-,-,-,-,,,-,-,-,-,,
Infraestrutura e serviços urbanos,Entorno,ent,bue,dom,ren,meiosm,ent_bue_dom_tot_dom,ent_bue_dom_tot_dom_pct,,ent_bue_dom_ren_meiosm,"ent_bue_dom_ren_meiosm,",ent_bue_dom_ren_meiosm_pct,"ent_bue_dom_ren_meiosm_pct,",Domicílios sem bueiro,Até 1/2 salário mínimo,Número de domicílios,Porcentagem em relação ao total de domicílios,Renda dos responsáveis,,Entorno02,ent_V323 + ent_V325 + ent_V333,dom01_V002,,Domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita até 1/2 do SM – Não existe bueiro/boca-de-lobo,"ent_bue_dom_ren_meiosm = ent_V323 + ent_V325 + ent_V333,","ent_bue_dom_ren_meiosm_pct = ent_bue_dom_ren_meiosm / (dom01_V002),",-,-,-,-,,,-,-,-,-,,
Infraestrutura e serviços urbanos,Entorno,ent,bue,mor,ren,12sm,ent_bue_dom_tot_dom,ent_bue_dom_tot_dom_pct,,ent_bue_mor_ren_12sm,"ent_bue_mor_ren_12sm,",ent_bue_mor_ren_12sm_pct,"ent_bue_mor_ren_12sm_pct,",Domicílios sem bueiro,1 a 2 salários mínimos,Número de moradores,Porcentagem em relação ao total de moradores,Renda dos moradores,,Entorno04,ent_V750,dom02_V002,,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita 1 a 2 SM – Não existe bueiro/boca-de-lobo,"ent_bue_mor_ren_12sm = ent_V750,","ent_bue_mor_ren_12sm_pct = ent_bue_mor_ren_12sm / (dom02_V002),",-,-,-,-,,,-,-,-,-,,
Infraestrutura e serviços urbanos,Entorno,ent,bue,mor,ren,1sm,ent_bue_dom_tot_dom,ent_bue_dom_tot_dom_pct,,ent_bue_mor_ren_1sm,"ent_bue_mor_ren_1sm,",ent_bue_mor_ren_1sm_pct,"ent_bue_mor_ren_1sm_pct,",Domicílios sem bueiro,1/2 a 1 salário mínimo,Número de moradores,Porcentagem em relação ao total de moradores,Renda dos moradores,,Entorno04,ent_V748,dom02_V002,,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita 1/2 a 1 SM – Não existe bueiro/boca-de-lobo,"ent_bue_mor_ren_1sm = ent_V748,","ent_bue_mor_ren_1sm_pct = ent_bue_mor_ren_1sm / (dom02_V002),",-,-,-,-,,,-,-,-,-,,
Infraestrutura e serviços urbanos,Entorno,ent,bue,mor,ren,2sm,ent_bue_dom_tot_dom,ent_bue_dom_tot_dom_pct,,ent_bue_mor_ren_2sm,"ent_bue_mor_ren_2sm,",ent_bue_mor_ren_2sm_pct,"ent_bue_mor_ren_2sm_pct,",Domicílios sem bueiro,Mais de 2 salários mínimos,Número de moradores,Porcentagem em relação ao total de moradores,Renda dos moradores,,Entorno04,ent_V752,dom02_V002,,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita maior que 2 SM – Não existe bueiro/boca-de-lobo,"ent_bue_mor_ren_2sm = ent_V752,","ent_bue_mor_ren_2sm_pct = ent_bue_mor_ren_2sm / (dom02_V002),",-,-,-,-,,,-,-,-,-,,
Infraestrutura e serviços urbanos,Entorno,ent,bue,mor,ren,meiosm,ent_bue_dom_tot_dom,ent_bue_dom_tot_dom_pct,,ent_bue_mor_ren_meiosm,"ent_bue_mor_ren_meiosm,",ent_bue_mor_ren_meiosm_pct,"ent_bue_mor_ren_meiosm_pct,",Domicílios sem bueiro,Até 1/2 salário mínimo,Número de moradores,Porcentagem em relação ao total de moradores,Renda dos moradores,,Entorno04,ent_V744 + ent_V746 + ent_V754,dom02_V002,,Moradores em domicílios particulares permanentes com rendimento nominal mensal domiciliar per capita até 1/2 do SM – Não existe bueiro/boca-de-lobo,"ent_bue_mor_ren_meiosm = ent_V744 + ent_V746 + ent_V754,","ent_bue_mor_ren_meiosm_pct = ent_bue_mor_ren_meiosm / (dom02_V002),",-,-,-,-,,,-,-,-,-,,
Infraestrutura e serviços urbanos,Entorno,ent,bue,mor,cor,ama,ent_bue_dom_tot_dom,ent_bue_dom_tot_dom_pct,,ent_bue_mor_cor_ama,"ent_bue_mor_cor_ama,",ent_bue_mor_cor_ama_pct,"ent_bue_mor_cor_ama_pct,",Domicílios sem bueiro,Pessoas amarelas,Número de moradores,Porcentagem em relação ao total de moradores,Cor dos moradores,,Entorno05,ent_V1018,dom02_V002,,Moradores em domicílios particulares permanentes de cor ou raça amarela – Não existe bueiro/boca-de-lobo,"ent_bue_mor_cor_ama = ent_V1018,","ent_bue_mor_cor_ama_pct = ent_bue_mor_cor_ama / (dom02_V002),",-,-,-,-,,,-,-,-,-,,
Infraestrutura e serviços urbanos,Entorno,ent,bue,mor,cor,bra,ent_bue_dom_tot_dom,ent_bue_dom_tot_dom_pct,,ent_bue_mor_cor_bra,"ent_bue_mor_cor_bra,",ent_bue_mor_cor_bra_pct,"ent_bue_mor_cor_bra_pct,",Domicílios sem bueiro,Pessoas brancas,Número de moradores,Porcentagem em relação ao total de moradores,Cor dos moradores,,Entorno05,ent_V1014,dom02_V002,,Moradores em domicílios particulares permanentes de cor ou raça branca – Não existe bueiro/boca-de-lobo,"ent_bue_mor_cor_bra = ent_V1014,","ent_bue_mor_cor_bra_pct = ent_bue_mor_cor_bra / (dom02_V002),",-,-,-,-,,,-,-,-,-,,
Infraestrutura e serviços urbanos,Entorno,ent,bue,mor,cor,ind,ent_bue_dom_tot_dom,ent_bue_dom_tot_dom_pct,,ent_bue_mor_cor_ind,"ent_bue_mor_cor_ind,",ent_bue_mor_cor_ind_pct,"ent_bue_mor_cor_ind_pct,",Domicílios sem bueiro,Pessoas indígenas,Número de moradores,Porcentagem em relação ao total de moradores,Cor dos moradores,,Entorno05,ent_V1022,dom02_V002,,Moradores em domicílios particulares permanentes de cor ou raça indígena – Não existe bueiro/boca-de-lobo,"ent_bue_mor_cor_ind = ent_V1022,","ent_bue_mor_cor_ind_pct = ent_bue_mor_cor_ind / (dom02_V002),",-,-,-,-,,,-,-,-,-,,
Infraestrutura e serviços urbanos,Entorno,ent,bue,mor,cor,neg,ent_bue_dom_tot_dom,ent_bue_dom_tot_dom_pct,,ent_bue_mor_cor_neg,"ent_bue_mor_cor_neg,",ent_bue_mor_cor_neg_pct,"ent_bue_mor_cor_neg_pct,",Domicílios sem bueiro,Pessoas negras,Número de moradores,Porcentagem em relação ao total de moradores,Cor dos moradores,,Entorno05,ent_V1016 + ent_V1020,dom02_V002,,Moradores em domicílios particulares permanentes de cor ou raça preta ou parda – Não existe bueiro/boca-de-lobo,"ent_bue_mor_cor_neg = ent_V1016 + ent_V1020,","ent_bue_mor_cor_neg_pct = ent_bue_mor_cor_neg / (dom02_V002),",-,-,-,-,,,-,-,-,-,,
Infraestrutura e serviços urbanos,Entorno,ent,cal,dom,tot,dom,ent_cal_dom_tot_dom,ent_cal_dom_tot_dom_pct,sim,ent_cal_dom_tot_dom,"ent_cal_dom_tot_dom,",ent_cal_dom_tot_dom_pct,"ent_cal_dom_tot_dom_pct,",Domicílios com esgoto a céu aberto,Total de domicílios,Número de domicílios,Porcentagem em relação ao total de domicílios,Total,,Entorno01,ent_V050 + ent_V052 + ent_V054,dom01_V002,,Domicílios particulares permanentes – Existe esgoto a céu aberto,"ent_cal_dom_tot_dom = ent_V050 + ent_V052 + ent_V054,","ent_cal_dom_tot_dom_pct = ent_cal_dom_tot_dom / (dom01_V002),",-,-,-,-,,,-,-,-,-,,
Infraestrutura e serviços urbanos,Entorno,ent,esg,mor,tot,dom,ent_cal_dom_tot_dom,ent_cal_dom_tot_dom_pct,,ent_esg_mor_tot_dom,"ent_esg_mor_tot_dom,",ent_esg_mor_tot_dom_pct,"ent_esg_mor_tot_dom_pct,",Domicílios com esgoto a céu aberto,Total de moradores,Número de moradores,Porcentagem em relação ao total de moradores,Total,,Entorno03,ent_V471 + ent_V473 + ent_V475,dom02_V002,,Moradores em domicílios particulares permanentes – Existe esgoto a céu aberto,"ent_esg_mor_tot_dom = ent_V471 + ent_V473 + ent_V475,","ent_esg_mor_tot_dom_pct = ent_esg_mor_tot_dom / (dom02_V002),",-,-,-,-,,,-,-,-,-,,
Infraestrutura e serviços urbanos,Entorno,ent,esg,dom,sex,fem_res,ent_cal_dom_tot_dom,ent_cal_dom_tot_dom_pct,,ent_esg_dom_sex_fem_res,"ent_esg_dom_sex_fem_res,",ent_esg_dom_sex_fem_res_pct,"ent_esg_dom_sex_fem_res_pct,",Domicílios com esgoto a céu aberto,Mulheres,Número de domicílios,Porcentagem em relação ao total de domicílios com mulheres responsáveis,Sexo dos responsáveis,,Entorno02,ent_V416,dom01_V081 + dom01_V082 + dom01_V083 + dom01_V084 + dom01_V085 + dom01_V086 + dom01_V087,% de domicílios com responsável do sexo feminino que tem esgoto a céu aberto,Domicílios particulares permanentes com responsável do sexo feminino – Existe esgoto a céu aberto,"ent_esg_dom_sex_fem_res = ent_V416,","ent_esg_dom_sex_fem_res_pct = ent_esg_dom_sex_fem_res / (dom01_V081 + dom01_V082 + dom01_V083 + dom01_V084 + dom01_V085 + dom01_V086 + dom01_V087),",-,-,-,-,,,-,-,-,-,,
