ordering,keywords,collection_id,source_table_id,variable_id,indicator_id,preset,year,indicator_path,Tema,indicator_label,Subtema,variant_label,variant_path,_measure_unit_prev,measure_unit,is_default_variable,description,metodology
16,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_0_4_ama_pct,pop_bas_mor_tot_0_4_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 0 a 4 anos de idade,População por faixa etária,Pessoas amarelas,Cor dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 0 a 4 anos de idade - amarela,Metodologia
17,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_0_4_bra_pct,pop_bas_mor_tot_0_4_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 0 a 4 anos de idade,População por faixa etária,Pessoas brancas,Cor dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 0 a 4 anos de idade - branca,Metodologia
18,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_0_4_ind_pct,pop_bas_mor_tot_0_4_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 0 a 4 anos de idade,População por faixa etária,Pessoas indígenas,Cor dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 0 a 4 anos de idade - indígena,Metodologia
19,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_0_4_neg_pct,pop_bas_mor_tot_0_4_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 0 a 4 anos de idade,População por faixa etária,Pessoas negras,Cor dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 0 a 4 anos de idade - preta ou parda,Metodologia
20,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_sex_5_9_mas_pct,pop_bas_mor_tot_5_9_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 5 a 9 anos de idade,População por faixa etária,Homens,Sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Homens de 5 a 9 anos de idade,Metodologia
21,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_sex_5_9_fem_pct,pop_bas_mor_tot_5_9_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 5 a 9 anos de idade,População por faixa etária,Mulheres,Sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Mulheres de 5 a 9 anos de idade,Metodologia
22,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_tot_5_9_pct,pop_bas_mor_tot_5_9_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 5 a 9 anos de idade,População por faixa etária,Total de residentes,Total,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,sim,Pessoas de 5 a 9 anos de idade,Metodologia
23,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_5_9_ama_pct,pop_bas_mor_tot_5_9_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 5 a 9 anos de idade,População por faixa etária,Pessoas amarelas,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 5 a 9 anos de idade - amarela,Metodologia
24,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_sex_5_9_ama_fem_pct,pop_bas_mor_tot_5_9_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 5 a 9 anos de idade,População por faixa etária,Mulheres amarelas,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 5 a 9 anos de idade - amarela e sexo feminino,Metodologia
25,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_sex_5_9_ama_mas_pct,pop_bas_mor_tot_5_9_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 5 a 9 anos de idade,População por faixa etária,Homens amarelos,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 5 a 9 anos de idade - amarela e sexo masculino,Metodologia
26,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_5_9_bra_pct,pop_bas_mor_tot_5_9_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 5 a 9 anos de idade,População por faixa etária,Pessoas brancas,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 5 a 9 anos de idade - branca,Metodologia
27,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_sex_5_9_bra_fem_pct,pop_bas_mor_tot_5_9_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 5 a 9 anos de idade,População por faixa etária,Mulheres brancas,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 5 a 9 anos de idade - branca e sexo feminino,Metodologia
28,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_sex_5_9_bra_mas_pct,pop_bas_mor_tot_5_9_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 5 a 9 anos de idade,População por faixa etária,Homens brancos,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 5 a 9 anos de idade - branca e sexo masculino,Metodologia
29,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_5_9_ind_pct,pop_bas_mor_tot_5_9_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 5 a 9 anos de idade,População por faixa etária,Pessoas indígenas,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 5 a 9 anos de idade - indígena,Metodologia
30,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_sex_5_9_ind_fem_pct,pop_bas_mor_tot_5_9_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 5 a 9 anos de idade,População por faixa etária,Mulheres indígenas,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 5 a 9 anos de idade - indígena e sexo feminino,Metodologia
31,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_sex_5_9_ind_mas_pct,pop_bas_mor_tot_5_9_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 5 a 9 anos de idade,População por faixa etária,Homens indígenas,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 5 a 9 anos de idade - indígena e sexo masculino,Metodologia
32,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_5_9_neg_pct,pop_bas_mor_tot_5_9_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 5 a 9 anos de idade,População por faixa etária,Pessoas negras,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 5 a 9 anos de idade - preta ou parda,Metodologia
33,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_sex_5_9_neg_fem_pct,pop_bas_mor_tot_5_9_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 5 a 9 anos de idade,População por faixa etária,Mulheres negras,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 5 a 9 anos de idade - preta ou parda e sexo feminino,Metodologia
34,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_sex_5_9_neg_mas_pct,pop_bas_mor_tot_5_9_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 5 a 9 anos de idade,População por faixa etária,Homens negros,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 5 a 9 anos de idade - preta ou parda e sexo masculino,Metodologia
35,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_sex_10_14_mas_pct,pop_bas_mor_tot_10_14_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 10 a 14 anos de idade,População por faixa etária,Homens,Sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Homens de 10 a 14 anos de idade,Metodologia
36,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_sex_10_14_fem_pct,pop_bas_mor_tot_10_14_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 10 a 14 anos de idade,População por faixa etária,Mulheres,Sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Mulheres de 10 a 14 anos de idade,Metodologia
37,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_tot_10_14_pct,pop_bas_mor_tot_10_14_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 10 a 14 anos de idade,População por faixa etária,Total de residentes,Total,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,sim,Pessoas de 10 a 14 anos de idade,Metodologia
38,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_10_14_ama_pct,pop_bas_mor_tot_10_14_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 10 a 14 anos de idade,População por faixa etária,Pessoas amarelas,Cor dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 10 a 14 anos de idade - amarela,Metodologia
39,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_sex_10_14_ama_fem_pct,pop_bas_mor_tot_10_14_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 10 a 14 anos de idade,População por faixa etária,Mulheres amarelas,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 10 a 14 anos de idade - amarela e sexo feminino,Metodologia
40,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_sex_10_14_ama_mas_pct,pop_bas_mor_tot_10_14_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 10 a 14 anos de idade,População por faixa etária,Homens amarelos,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 10 a 14 anos de idade - amarela e sexo masculino,Metodologia
41,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_10_14_bra_pct,pop_bas_mor_tot_10_14_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 10 a 14 anos de idade,População por faixa etária,Pessoas brancas,Cor dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 10 a 14 anos de idade - branca,Metodologia
42,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_sex_10_14_bra_fem_pct,pop_bas_mor_tot_10_14_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 10 a 14 anos de idade,População por faixa etária,Mulheres brancas,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 10 a 14 anos de idade - branca e sexo feminino,Metodologia
43,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_sex_10_14_bra_mas_pct,pop_bas_mor_tot_10_14_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 10 a 14 anos de idade,População por faixa etária,Homens brancos,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 10 a 14 anos de idade - branca e sexo masculino,Metodologia
44,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_10_14_ind_pct,pop_bas_mor_tot_10_14_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 10 a 14 anos de idade,População por faixa etária,Pessoas indígenas,Cor dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 10 a 14 anos de idade - indígena,Metodologia
45,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_sex_10_14_ind_fem_pct,pop_bas_mor_tot_10_14_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 10 a 14 anos de idade,População por faixa etária,Mulheres indígenas,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 10 a 14 anos de idade - indígena e sexo feminino,Metodologia
46,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_sex_10_14_ind_mas_pct,pop_bas_mor_tot_10_14_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 10 a 14 anos de idade,População por faixa etária,Homens indígenas,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 10 a 14 anos de idade - indígena e sexo masculino,Metodologia
47,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_10_14_neg_pct,pop_bas_mor_tot_10_14_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 10 a 14 anos de idade,População por faixa etária,Pessoas negras,Cor dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 10 a 14 anos de idade - preta ou parda,Metodologia
48,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_sex_10_14_neg_fem_pct,pop_bas_mor_tot_10_14_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 10 a 14 anos de idade,População por faixa etária,Mulheres negras,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 10 a 14 anos de idade - preta ou parda e sexo feminino,Metodologia
49,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_sex_10_14_neg_mas_pct,pop_bas_mor_tot_10_14_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 10 a 14 anos de idade,População por faixa etária,Homens negros,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 10 a 14 anos de idade - preta ou parda e sexo masculino,Metodologia
50,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_sex_15_19_mas_pct,pop_bas_mor_tot_15_19_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 15 a 19 anos de idade,População por faixa etária,Homens,Sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Homens de 15 a 19 anos de idade,Metodologia
51,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_sex_15_19_fem_pct,pop_bas_mor_tot_15_19_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 15 a 19 anos de idade,População por faixa etária,Mulheres,Sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Mulheres de 15 a 19 anos de idade,Metodologia
52,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_tot_15_19_pct,pop_bas_mor_tot_15_19_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 15 a 19 anos de idade,População por faixa etária,Total de residentes,Total,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,sim,Pessoas de 15 a 19 anos de idade,Metodologia
53,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_15_19_ama_pct,pop_bas_mor_tot_15_19_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 15 a 19 anos de idade,População por faixa etária,Pessoas amarelas,Cor dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 15 a 19 anos de idade - amarela,Metodologia
54,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_sex_15_19_ama_fem_pct,pop_bas_mor_tot_15_19_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 15 a 19 anos de idade,População por faixa etária,Mulheres amarelas,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 15 a 19 anos de idade - amarela e sexo feminino,Metodologia
55,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_sex_15_19_ama_mas_pct,pop_bas_mor_tot_15_19_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 15 a 19 anos de idade,População por faixa etária,Homens amarelos,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 15 a 19 anos de idade - amarela e sexo masculino,Metodologia
56,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_15_19_bra_pct,pop_bas_mor_tot_15_19_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 15 a 19 anos de idade,População por faixa etária,Pessoas brancas,Cor dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 15 a 19 anos de idade - branca,Metodologia
57,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_sex_15_19_bra_fem_pct,pop_bas_mor_tot_15_19_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 15 a 19 anos de idade,População por faixa etária,Mulheres brancas,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 15 a 19 anos de idade - branca e sexo feminino,Metodologia
58,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_sex_15_19_bra_mas_pct,pop_bas_mor_tot_15_19_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 15 a 19 anos de idade,População por faixa etária,Homens brancos,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 15 a 19 anos de idade - branca e sexo masculino,Metodologia
59,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_15_19_ind_pct,pop_bas_mor_tot_15_19_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 15 a 19 anos de idade,População por faixa etária,Pessoas indígenas,Cor dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 15 a 19 anos de idade - indígena,Metodologia
60,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_sex_15_19_ind_fem_pct,pop_bas_mor_tot_15_19_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 15 a 19 anos de idade,População por faixa etária,Mulheres indígenas,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 15 a 19 anos de idade - indígena e sexo feminino,Metodologia
61,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_sex_15_19_ind_mas_pct,pop_bas_mor_tot_15_19_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 15 a 19 anos de idade,População por faixa etária,Homens indígenas,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 15 a 19 anos de idade - indígena e sexo masculino,Metodologia
62,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_15_19_neg_pct,pop_bas_mor_tot_15_19_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 15 a 19 anos de idade,População por faixa etária,Pessoas negras,Cor dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 15 a 19 anos de idade - preta ou parda,Metodologia
63,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_sex_15_19_neg_fem_pct,pop_bas_mor_tot_15_19_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 15 a 19 anos de idade,População por faixa etária,Mulheres negras,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 15 a 19 anos de idade - preta ou parda e sexo feminino,Metodologia
64,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_cor_sex_15_19_neg_mas_pct,pop_bas_mor_tot_15_19_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 15 a 19 anos de idade,População por faixa etária,Homens negros,Cor e sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Pessoas de 15 a 19 anos de idade - preta ou parda e sexo masculino,Metodologia
65,,ibge_malha_br_setor_censitario_2010,cem_censo_2010_rel,pop_bas_mor_sex_20_59_mas_pct,pop_bas_mor_tot_20_59_pct,cem_censo_2010_2022,2010,População e domicílios / 2010 / População por faixa etária,População e domicílios,Pessoas de 20 a 59 anos de idade,População por faixa etária,Homens,Sexo dos residentes,Porcentagem em relação ao total de pessoas residentes,% em relação ao total de pessoas residentes,,Homens de 20 a 59 anos de idade,Metodologia
